model,audio_file,elapsed_sec,success,cpu_mean,cpu_max,memory_mean_gb,memory_max_gb,memory_percent_mean,memory_percent_max,gpu_util_mean,gpu_util_max,gpu_mem_mean_mb,gpu_mem_max_mb
omniASR_LLM_1B,data/wav/mn/mn0681.mp3,1.0391581058502195,False,22.9,22.9,17.12854766845703,17.12854766845703,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0067.mp3,0.1033306121826171,False,12.9,12.9,17.054950714111328,17.054950714111328,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0067.mp3,1.0302371978759766,False,27.5,27.5,17.131465911865234,17.131465911865234,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0067.mp3,1.0478134155273438,False,24.7,24.7,17.135360717773438,17.135360717773438,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0067.mp3,1.049696922302246,False,26.7,26.7,17.137882232666016,17.137882232666016,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/mn/mn0307.mp3,0.1032989025115966,False,9.2,9.2,17.067729949951172,17.067729949951172,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/mn/mn0307.mp3,1.012225866317749,False,28.7,28.7,17.133663177490234,17.133663177490234,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/mn/mn0307.mp3,1.015073537826538,False,27.5,27.5,17.131919860839844,17.131919860839844,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/mn/mn0307.mp3,1.0505528450012207,False,23.1,23.1,17.133392333984375,17.133392333984375,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0489.mp3,0.0995724201202392,False,10.0,10.0,17.059772491455078,17.059772491455078,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0489.mp3,1.0675525665283203,False,27.7,27.7,17.13671112060547,17.13671112060547,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0489.mp3,1.077263116836548,False,28.7,28.7,17.144779205322266,17.144779205322266,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0489.mp3,1.0774288177490234,False,25.0,25.0,17.133316040039062,17.133316040039062,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0185.mp3,0.1151049137115478,False,13.4,13.4,17.065105438232422,17.065105438232422,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0185.mp3,1.0435295104980469,False,29.8,29.8,17.13152313232422,17.13152313232422,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0185.mp3,1.0760960578918457,False,26.2,26.2,17.136539459228516,17.136539459228516,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0185.mp3,1.095853567123413,False,24.1,24.1,17.13434600830078,17.13434600830078,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0187.mp3,0.1195740699768066,False,9.4,9.4,17.06548309326172,17.06548309326172,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0187.mp3,1.0270397663116455,False,23.6,23.6,17.127662658691406,17.127662658691406,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0187.mp3,0.999436616897583,False,27.0,27.0,17.131389617919922,17.131389617919922,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0187.mp3,1.056103229522705,False,25.0,25.0,17.132213592529297,17.132213592529297,27.3,27.3,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0670.mp3,0.1163694858551025,False,9.7,9.7,17.076000213623047,17.076000213623047,27.2,27.2,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0670.mp3,1.0332937240600586,False,23.8,23.8,17.139297485351562,17.139297485351562,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0670.mp3,1.0495963096618652,False,22.5,22.5,17.139366149902344,17.139366149902344,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_LLM_1B,data/wav/hu/hu0670.mp3,1.0610830783843994,False,31.2,31.2,17.14788818359375,17.14788818359375,27.4,27.4,0.0,0.0,24.0,24.0
small,data/wav/hu/hu0162.mp3,0.1093173027038574,False,11.4,11.4,17.08969497680664,17.08969497680664,27.3,27.3,0.0,0.0,24.0,24.0
omniASR_CTC_300M,data/wav/hu/hu0162.mp3,1.0230560302734375,False,28.3,28.3,17.153484344482422,17.153484344482422,27.4,27.4,0.0,0.0,24.0,24.0
omniASR_CTC_1B,data/wav/hu/hu0162.mp3,1.040154218673706,False,27.3,27.3,17.153087615966797,17.153087615966797,27.4,27.4,0.0,0.0,24.0,24.0
